unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1643013720,1/24/2022 8:42,BTC/USD,35160.51,35163.51,35137.65,35145.29,0.06387812,2245.015052
1643013660,1/24/2022 8:41,BTC/USD,35193.11,35193.11,35150.71,35163.21,0.46863362,16478.66239
1643013600,1/24/2022 8:40,BTC/USD,35186.24,35193.1,35163.05,35193.1,0.306586,10789.71176
1643013540,1/24/2022 8:39,BTC/USD,35172.81,35174.99,35156.58,35156.58,4.65583365,163683.1882
1643013480,1/24/2022 8:38,BTC/USD,35162.21,35168.31,35160.1,35168.11,0.19135706,6729.666135
1643013420,1/24/2022 8:37,BTC/USD,35213.18,35214.32,35166.11,35170.84,0.46242265,16263.79304
1643013360,1/24/2022 8:36,BTC/USD,35209.32,35212.13,35190.49,35190.49,1.33925951,47129.19839
1643013300,1/24/2022 8:35,BTC/USD,35171.3,35212.22,35171.3,35205.42,0.52654494,18537.23576
1643013240,1/24/2022 8:34,BTC/USD,35180.17,35180.17,35150.74,35164.51,0.13164,4629.056096
1643013180,1/24/2022 8:33,BTC/USD,35207.09,35207.09,35178.76,35180.19,2.40994279,84782.24524
1643013120,1/24/2022 8:32,BTC/USD,35201.42,35219.21,35193.1,35193.1,0.15039895,5293.005287
1643013060,1/24/2022 8:31,BTC/USD,35203.9,35203.9,35172.75,35197.14,0.13999496,4927.422206
1643013000,1/24/2022 8:30,BTC/USD,35125.15,35198.71,35110.73,35198.71,0.92680983,32622.51043
1643012940,1/24/2022 8:29,BTC/USD,35116,35144.58,35092.42,35125.75,0.88809365,31194.95553
1643012880,1/24/2022 8:28,BTC/USD,35087.73,35116.48,35086.33,35107.74,2.70359228,94917.01483
1643012820,1/24/2022 8:27,BTC/USD,35042.09,35090.15,35042.09,35072.49,0.33116664,11614.83867
1643012760,1/24/2022 8:26,BTC/USD,35068.83,35068.83,35006.92,35058.98,3.72683123,130658.9016
1643012700,1/24/2022 8:25,BTC/USD,35089.1,35105.97,35068.27,35068.27,0.6891442,24167.09487
1643012640,1/24/2022 8:24,BTC/USD,35124.3,35124.3,35087.8,35093.7,1.70899191,59974.84939
1643012580,1/24/2022 8:23,BTC/USD,35124.3,35137.43,35121.64,35137.43,0.17397991,6113.206909
1643012520,1/24/2022 8:22,BTC/USD,35088.32,35123.9,35078.79,35123.9,0.44013183,15459.14638
1643012460,1/24/2022 8:21,BTC/USD,35085.09,35113.98,35085.09,35085.19,1.09357473,38368.27718
1643012400,1/24/2022 8:20,BTC/USD,35109.3,35125.3,35078.57,35085.09,0.94978537,33323.30519
1643012340,1/24/2022 8:19,BTC/USD,35111.4,35126.59,35098.62,35122.58,1.55501307,54616.07095
1643012280,1/24/2022 8:18,BTC/USD,35124.7,35124.7,35102.98,35102.98,0.00428522,150.423992
1643012220,1/24/2022 8:17,BTC/USD,35139.13,35158.75,35124.61,35124.61,0.30582077,10741.83528
1643012160,1/24/2022 8:16,BTC/USD,35081.29,35102.05,35081.29,35100.8,3.7776753,132599.4252
1643012100,1/24/2022 8:15,BTC/USD,35018.36,35096.1,35011.94,35088.96,0.66097273,23192.84568
1643012040,1/24/2022 8:14,BTC/USD,35022.79,35022.79,35017.91,35020.94,0.2293,8030.301542
1643011980,1/24/2022 8:13,BTC/USD,34999.37,35023.03,34967.85,35023.03,2.83542777,99305.27185
1643011920,1/24/2022 8:12,BTC/USD,35000.36,35000.36,34985.37,34985.37,0.2180798,7629.602493
1643011860,1/24/2022 8:11,BTC/USD,34994.98,35003.38,34967.85,34996.78,0.69168089,24206.60394
1643011800,1/24/2022 8:10,BTC/USD,34958.46,34978.07,34948.77,34978.07,0.11342825,3967.501268
1643011740,1/24/2022 8:09,BTC/USD,34944.12,34960.04,34929.89,34960.04,1.48650084,51968.12883
1643011680,1/24/2022 8:08,BTC/USD,34970,35003.99,34956.79,34962.78,6.29276042,220012.3982
1643011620,1/24/2022 8:07,BTC/USD,35021.54,35021.54,34982.37,35014.39,0.43215,15131.46864
1643011560,1/24/2022 8:06,BTC/USD,34962.83,34988.71,34959.99,34967.08,1.34207171,46928.32885
1643011500,1/24/2022 8:05,BTC/USD,34939.21,34962.83,34937.64,34962.83,0.2235345,7815.398723
1643011440,1/24/2022 8:04,BTC/USD,34945.96,34945.96,34894.56,34894.56,0.08481228,2959.487193
1643011380,1/24/2022 8:03,BTC/USD,34928.35,34928.35,34889.7,34899.76,1.19979572,41872.58268
1643011320,1/24/2022 8:02,BTC/USD,34946.15,35000.09,34946.15,34949.21,1.43230663,50057.9852
1643011260,1/24/2022 8:01,BTC/USD,34862.71,34938.18,34852.33,34937.04,13.30744433,464922.7149
1643011200,1/24/2022 8:00,BTC/USD,34909.14,34930.11,34896.33,34896.33,1.01854383,35543.44161
1643011140,1/24/2022 7:59,BTC/USD,34892.85,34907.66,34865.35,34889.71,0.59969968,20923.34792
1643011080,1/24/2022 7:58,BTC/USD,34867.75,34892.67,34842.26,34892.66,0.99442962,34698.29462
1643011020,1/24/2022 7:57,BTC/USD,34837.43,34892.64,34837.43,34869.66,0.24454265,8527.119061
1643010960,1/24/2022 7:56,BTC/USD,34939.03,34944.71,34820.04,34848.15,21.89448012,762982.1274
1643010900,1/24/2022 7:55,BTC/USD,34971.87,34971.87,34918.63,34939.03,3.89747547,136174.0124
1643010840,1/24/2022 7:54,BTC/USD,34992.76,35001.02,34981.95,34981.97,0.76023649,26594.57009
1643010780,1/24/2022 7:53,BTC/USD,35005.97,35005.97,34941.42,34987.05,2.69704841,94361.76757
1643010720,1/24/2022 7:52,BTC/USD,34995.16,34995.16,34942.32,34953.9,12.8590731,449474.7552
1643010660,1/24/2022 7:51,BTC/USD,35016.98,35016.98,34989.56,34991.07,3.96750208,138827.143
